Month,SEX OFFENSE (NO RAPE),ROBBERY,GUN CALLS,COMMERCIAL BURGLARIES,CASUALTIES,ASSAULTS
January,38,329,193,649,443,"1,097"
February,6,378,244,613,436,"1,192"
March,22,460,230,705,541,"1,480"
April,36,439,253,691,523,"1,450"
May,19,360,243,572,520,"1,462"
June,24,401,253,501,447,"1,303"
July,14,351,384,578,483,"1,425"
August,17,357,299,513,499,"1,413"
September,37,358,216,513,466,"1,284"
October,19,352,180,530,444,"1,197"
November,68,302,222,522,436,"1,164"
December,18,315,165,584,411,"1,086"
